s,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
Time,Total,NITROGEN,OXYGEN,CARBON DIOXIDE,WATER VAPOR,CARBON MONOXIDE,SOOT,HYDROGEN,HYDROGEN CYANIDE,HEPTAN_SURROGATE,LUMPED AIR,LUMPED HEPTAN_SURROGATE,LUMPED PRODUCTS
 7.9003105E+001, 5.7359499E+001, 4.3680614E+001, 1.3148169E+001, 1.0990571E-001, 4.1956680E-001, 2.5171577E-004, 5.5377470E-004, 0.0000000E+000, 0.0000000E+000, 4.3772681E-004, 5.6964408E+001, 4.3772681E-004, 3.9465312E-001
 8.0008186E+001, 5.7359879E+001, 4.3680614E+001, 1.3146753E+001, 1.1116768E-001, 4.2012499E-001, 2.5589431E-004, 5.6296748E-004, 0.0000000E+000, 0.0000000E+000, 3.9975109E-004, 5.6958274E+001, 3.9975109E-004, 4.0120444E-001
 8.1008652E+001, 5.7360263E+001, 4.3680614E+001, 1.3145399E+001, 1.1237518E-001, 4.2065909E-001, 2.5989244E-004, 5.7176338E-004, 0.0000000E+000, 0.0000000E+000, 3.8424683E-004, 5.6952406E+001, 3.8424683E-004, 4.0747293E-001
 8.2003288E+001, 5.7360644E+001, 4.3680614E+001, 1.3144258E+001, 1.1339244E-001, 4.2110905E-001, 2.6326073E-004, 5.7917360E-004, 0.0000000E+000, 0.0000000E+000, 4.2887995E-004, 5.6947462E+001, 4.2887995E-004, 4.1275390E-001
 8.3014801E+001, 5.7361028E+001, 4.3680614E+001, 1.3143213E+001, 1.1432315E-001, 4.2152072E-001, 2.6634241E-004, 5.8595330E-004, 0.0000000E+000, 0.0000000E+000, 5.0430652E-004, 5.6942938E+001, 5.0430652E-004, 4.1758552E-001
 8.4005692E+001, 5.7361410E+001, 4.3680614E+001, 1.3141534E+001, 1.1582055E-001, 4.2218305E-001, 2.7130046E-004, 5.9686101E-004, 0.0000000E+000, 0.0000000E+000, 3.9015958E-004, 5.6935660E+001, 3.9015958E-004, 4.2535901E-001
 8.5010384E+001, 5.7361791E+001, 4.3680614E+001, 1.3140166E+001, 1.1703926E-001, 4.2272210E-001, 2.7533572E-004, 6.0573858E-004, 0.0000000E+000, 0.0000000E+000, 3.6784640E-004, 5.6929737E+001, 3.6784640E-004, 4.3168570E-001
 8.6004501E+001, 5.7362173E+001, 4.3680614E+001, 1.3138763E+001, 1.1829013E-001, 4.2327539E-001, 2.7947749E-004, 6.1485048E-004, 0.0000000E+000, 0.0000000E+000, 3.3539951E-004, 5.6923658E+001, 3.3539951E-004, 4.3817938E-001
 8.7017365E+001, 5.7362556E+001, 4.3680614E+001, 1.3137378E+001, 1.1952530E-001, 4.2382173E-001, 2.8356724E-004, 6.2384794E-004, 0.0000000E+000, 0.0000000E+000, 3.0998097E-004, 5.6917655E+001, 3.0998097E-004, 4.4459151E-001
 8.8004753E+001, 5.7362936E+001, 4.3680614E+001, 1.3136067E+001, 1.2069325E-001, 4.2433833E-001, 2.8743446E-004, 6.3235582E-004, 0.0000000E+000, 0.0000000E+000, 3.0341471E-004, 5.6911978E+001, 3.0341471E-004, 4.5065474E-001
 8.9021286E+001, 5.7363317E+001, 4.3680614E+001, 1.3135014E+001, 1.2163221E-001, 4.2475365E-001, 2.9054346E-004, 6.3919561E-004, 0.0000000E+000, 0.0000000E+000, 3.7279531E-004, 5.6907415E+001, 3.7279531E-004, 4.5552919E-001
 9.0014725E+001, 5.7363697E+001, 4.3680614E+001, 1.3133758E+001, 1.2275181E-001, 4.2524887E-001, 2.9425057E-004, 6.4735126E-004, 0.0000000E+000, 0.0000000E+000, 3.8256797E-004, 5.6901973E+001, 3.8256797E-004, 4.6134139E-001
 9.1016739E+001, 5.7364075E+001, 4.3680614E+001, 1.3132393E+001, 1.2396878E-001, 4.2578716E-001, 2.9828009E-004, 6.5621619E-004, 0.0000000E+000, 0.0000000E+000, 3.5709056E-004, 5.6896058E+001, 3.5709056E-004, 4.6765908E-001
